# Biome name                                       =   Grass, Foliage,   Water
# ------------------------------------------------ = -------, -------, -------



# Beach
# -----

minecraft:beach                                    = #91bd59, #77ab2f, #157CAB
minecraft:swampland                                = #6A7039, #6a7039, #4C6559
minecraft:swampland_mutated                        = #6A7039, #6a7039, #4C6156


# Taiga
# -----

minecraft:cold_taiga                               = #80b497, #60a17b, #205e83
minecraft:cold_taiga_hills                         = #80b497, #60a17b, #245B78
minecraft:cold_taiga_mutated                       = #80b497, #60a17b, #205e83
minecraft:mega_taiga                               = #86b87f, #68a55f, #2D6D77
minecraft:mega_taiga_hills                         = #86b87f, #68a55f, #286378
minecraft:redwood_taiga_hills_mutated              = #86B87F, #68A55F, #2D6D77
minecraft:redwood_taiga_mutated                    = #86b783, #68a464, #2D6D77
minecraft:taiga                                    = #86b783, #68a464, #287082
minecraft:taiga_hills                              = #86b783, #68a464, #236583
minecraft:taiga_mutated                            = #86b783, #68a464, #1E6B82


# The End
# -------

minecraft:the_end                                  = #8eb971, #71a74d, #62529E


# Underground
# -----------

minecraft:deep_dark                                = #91bd59, #77ab2f, #44AFF5
minecraft:dripstone_caves                          = #8AB689, #6DA36B, #44aff5
minecraft:lush_caves                               = #8EB971, #71a74d, #44aff5
